nif,poc_nombre,poc_tel,poc_email,area_operaciones
A69389435,"Gil Vicente, Jorge",+34679037046,jorge@a69389435.com,farmacia
A61278230,"Campos Santana, Ivan",+34642995197,ivan@a61278230.com,retail
A03001815,"Serrano Lorenzo, Adrian",+34621512204,adrian@a03001815.com,admon
A18203760,"Santana Dominguez, Aurora",+34615131955,aurora@a18203760.com,farmacia
A14531729,"Munoz Garrido, Angela",+34665506732,angela@a14531729.com,retail
A14871723,"Rojas Prieto, Martina",+34650314150,martina@a14871723.com,admon
A17671723,"Garrido Flores, Rodrigo",+34623845848,rodrigo@a17671723.com,retail
A14764789,"Martin Navarro, Cristina",+34660638260,cristina@a14764789.com,retail
A14764790,"Romero Saez, Alfonso",+34604639218,alfonso@a14764790.com,retail
A14764791,"Duran Morales, Pablo",+34677187260,pablo@a14764791.com,retail
A14764792,"Martin Cabrera, Jorge",+34605930823,jorge@a14764792.com,retail
A14764793,"Gil Hernandez, Carla",+34669855045,carla@a14764793.com,retail
A14764794,"Gil Fernandez, Ana Isabel",+34630378600,anaisabel@a14764794.com,retail
A14764795,"Marquez Guerrero, Santiago",+34643374516,santiago@a14764795.com,admon
A14764796,"Santana Munoz, Jaime",+34654604457,jaime@a14764796.com,admon
A14764797,"Fuentes Roman, Mariano",+34676807341,mariano@a14764797.com,admon
A14764798,"Duran Nieto, Antonio",+34645785684,antonio@a14764798.com,admon
A14764799,"Gutierrez Sanchez, Miriam",+34658200500,miriam@a14764799.com,admon
A14764800,"Blanco Diez, Maria Elena",+34669574319,mariaelen@a14764800.com,admon
A14764801,"Mora Cortes, Juan Jose",+34655133323,juanjose@a14764801.com,admon
A14764802,"Rodriguez Sanz, Sandra",+34668082622,sandra@a14764802.com,retail
A14764803,"Bravo Sanz, Francisco Jose",+34608300967,francisco@a14764803.com,retail
A14764804,"Pastor Fuentes, Daniela",+34601823619,daniela@a14764804.com,retail
A14764805,"Reyes Montero, Xavier",+34612250521,xavier@a14764805.com,retail
A14764806,"Roman Delgado, Ana Isabel",+34675321586,anaisabel@a14764806.com,retail
A14764807,"Gonzalez Medina, Tomas",+34673361399,tomas@a14764807.com,farmacia
