dni_socio,nombre,apell1,apell2,direccion,correo_e,cod_postal_cod_postal,sede_idsede,evento_cod_evento,cuota_tipo,cuota_importe,cuota_cc
22657890S,Lorenzo,Moreno,Jose Maria,Carrer Lorem ipsum 10 7B,'moreno.lorenzo@correo.com',6500,18,6,mensual,5,AL86751639367318444714198669
54180987W,Caballero,Ibanez,Paula ,Paseo Lorem ipsum 27B 3A,'ibanez.caballero@correo.com',38508,1,,anual,10,AL89515635252277023782748302
17785385Z,Gomez,Delgado,Margarita ,Rambla Lorem ipsum dolor 48 5F,'delgado.gomez@correo.com',7012,16,,anual,10,AL39153296222641598198140883
24724662F,Fernandez,Perez,Joaquin ,Alameda Lorem ipsum dolor sit 42B 9G,'perez.fernandez@correo.com',4431,10,,mensual,100,AL47907501989147671525950076
64473680B,Rojas,Gomez,Cristian ,Camino Lorem ipsum dolor sit 218B 11D,'gomez.rojas@correo.com',24218,2,,mensual,50,AL55398719849655505231753964
22302533P,Esteban,Reyes,Ana Maria,Via Lorem ipsum 77A 18B,'reyes.esteban@correo.com',16431,7,,mensual,10,AD2531377125214715353449
89672128G,Munoz,Moreno,Andres ,Pasaje Lorem ipsum dolor sit 84B 11B,'moreno.munoz@correo.com',10300,5,,mensual,5,AD9764782778017799549345
41099984L,Gonzalez,Cano,Ines ,Cuesta Lorem 280B 14G,'cano.gonzalez@correo.com',15386,10,,anual,15,AD4079739934060166934190
59173744B,Benitez,Vidal,Ismael ,Callejon Lorem ipsum dolor 4A,'vidal.benitez@correo.com',46389,6,,anual,5,AD3210446914824799260335
16229401A,Medina,Gallardo,Maria Isabel,Canada Lorem ipsum dolor 78B 14G,'gallardo.medina@correo.com',49017,3,,mensual,10,AD1781438353588817727122
25471131B,Duran,Diez,Maria Teresa,Rambla Lorem ipsum dolor sit 262B 15D,'diez.duran@correo.com',36339,7,,mensual,10,AT582774098454337653
38066345B,Marin,Rubio,Felipe ,Carretera Lorem ipsum dolor 67,'rubio.marin@correo.com',15683,10,,mensual,100,AT220332087576467472
96442917F,Roman,Gallardo,Ruben ,Carretera Lorem ipsum dolor sit 203 14H,'gallardo.roman@correo.com',39584,10,,mensual,50,AT328650112318219886
74456387M,Medina,Duran,Alfonso ,Avenida Lorem 123A 15G,'duran.medina@correo.com',28822,8,,mensual,10,AT193357281080332578
83501672B,Caballero,Gonzalez,Carla ,Via Lorem ipsum 174B 5E,'gonzalez.caballero@correo.com',3380,10,,anual,5,AT535755326448639816
26811303L,Nunez,Duran,Lucia ,Glorieta Lorem ipsum 155 14H,'duran.nunez@correo.com',36760,18,,anual,15,BE16517682243567
12228755T,Dominguez,Torres,Juan Francisco,Canada Lorem ipsum dolor 147A 7H,'torres.dominguez@correo.com',28864,14,,mensual,5,BE46943937718104
34790743T,Herrera,Guerrero,Laura ,Carrera Lorem ipsum dolor 238 4B,'guerrero.herrera@correo.com',27004,11,,mensual,10,BE75270187592710
61509077Q,Vidal,Vargas,Fatima ,Alameda Lorem ipsum 20B,'vargas.vidal@correo.com',50013,14,18,mensual,10,BE58465045170210
62078561C,Hernandez,Rubio,Jose Antonio,Callejon Lorem 86 13B,'rubio.hernandez@correo.com',26314,16,20,mensual,100,BE49149522496291
46734861B,Lozano,Diez,Yolanda ,Via Lorem ipsum dolor 59 10E,'diez.lozano@correo.com',15570,8,1,trimestral,50,BA534130469841865537
72946882J,Gonzalez,Fernandez,Juan Manuel,Glorieta Lorem ipsum dolor sit 228B 19H,'fernandez.gonzalez@correo.com',33013,14,15,anual,10,BA515388988295860588
12501438H,Diez,Diez,Miguel ,Plaza Lorem ipsum dolor 100 12B,'diez.diez@correo.com',5148,4,4,mensual,5,BA182655808222815318
52570741D,Moya,Lozano,Rosa ,Camino Lorem ipsum dolor 287,'lozano.moya@correo.com',36567,14,3,mensual,15,BA105531662061034080
74497958S,Martinez,Hernandez,Nicolas ,Carrera Lorem ipsum dolor 207B 5B,'hernandez.martinez@correo.com',22588,10,6,mensual,5,BA198940842595891985
00189107R,Dominguez,Cruz,Ricardo ,Paseo Lorem ipsum dolor sit 276B 17D,'cruz.dominguez@correo.com',24852,5,2,mensual,15,BG08NXYF73308507056085
22075189L,Martin,Iglesias,Nerea ,Avenida Lorem ipsum 121B,'iglesias.martin@correo.com',27888,11,19,trimestral,10,BG22OOPG05631394112384
09056141Y,Bravo,Sanchez,Catalina ,Rambla Lorem 64 7E,'sanchez.bravo@correo.com',38811,16,7,anual,5,BG30XCMJ43923350257238
76156313R,Cano,Marquez,Yolanda ,Carretera Lorem 127 3G,'marquez.cano@correo.com',8950,2,15,mensual,5,BG66ZKSV96204746173581
30134446F,Velasco,Santana,Agustin ,Calle Lorem ipsum dolor 105 19C,'santana.velasco@correo.com',16800,5,19,mensual,5,BG62TOZJ59790808155256
96612018N,Nieto,Delgado,Angel ,Carretera Lorem 11B,'delgado.nieto@correo.com',36863,5,,mensual,5,HR9118658081801951861
80978513K,Nieto,Nunez,Olga ,Callejon Lorem 30B 1E,'nunez.nieto@correo.com',47810,2,,mensual,5,HR7093391174762888131
98516503M,Sanz,Ramirez,Luis ,Rambla Lorem ipsum dolor sit 97 8F,'ramirez.sanz@correo.com',4768,17,,trimestral,10,HR6824554207539191367
10744692N,Ruiz,Cabrera,Maria Mercedes,Pasadizo Lorem ipsum dolor sit 265B 8C,'cabrera.ruiz@correo.com',38812,6,,anual,10,HR7069604594001692768
53865176G,Sanz,Diaz,Patricia ,Carretera Lorem ipsum 182B 1F,'diaz.sanz@correo.com',46291,13,,mensual,50,HR4270163171014341308
81949353P,Martinez,Suarez,Patricia ,Urbanizacion Lorem ipsum dolor sit 234A 10A,'suarez.martinez@correo.com',16141,18,,mensual,100,CY48590776872388131193566182
74930475V,Roman,Soto,Jose Manuel,Canada Lorem ipsum dolor sit 77A 9H,'soto.roman@correo.com',31697,3,,mensual,50,CY57511427289148815512463528
40005964V,Garrido,Serrano,Alberto ,Urbanizacion Lorem ipsum dolor 17A 4A,'serrano.garrido@correo.com',15807,11,,mensual,10,CY10469623011747193079305488
47856371H,Gil,Medina,Susana ,Carretera Lorem 205,'medina.gil@correo.com',46355,2,,trimestral,5,CY86826022479357551507194222
16935805P,Carrasco,Garrido,Paula ,Carretera Lorem ipsum dolor sit 225 2C,'garrido.carrasco@correo.com',24319,13,,anual,15,CY65139035183710553510799793
50127086N,Vargas,Sanchez,Albert ,Paseo Lorem ipsum 122 8E,'sanchez.vargas@correo.com',9212,12,,mensual,5,CZ3740083988228867633610
32956438Z,Ferrer,Sanz,Jose ,Carrera Lorem ipsum 13,'sanz.ferrer@correo.com',6240,12,,mensual,15,CZ4923390395798905071131
99831293T,Cruz,Calvo,Pablo ,Carretera Lorem ipsum 93A 15A,'calvo.cruz@correo.com',44495,15,,mensual,10,CZ3697747307026104738861
26016259Q,Hernandez,Gallardo,Fatima ,Avenida Lorem ipsum 7B,'gallardo.hernandez@correo.com',24717,3,,mensual,5,CZ5061223246730267064210
25442470P,Arias,Fuentes,Maria ,Carretera Lorem 292,'fuentes.arias@correo.com',40461,7,,trimestral,5,CZ3638452806288471256750
88885012V,Rubio,Ibanez,Maria Josefa,Glorieta Lorem ipsum 194 19B,'ibanez.rubio@correo.com',25680,11,,anual,5,DK8387188644726815
58407486K,Iglesias,Duran,Jose Francisco,Callejon Lorem 115A 9D,'duran.iglesias@correo.com',47465,5,,mensual,5,DK3068706775436067
50929825M,Cano,Fuentes,Sebastian ,Canada Lorem ipsum dolor sit 50A 10F,'fuentes.cano@correo.com',15550,1,,mensual,5,DK0697654450063121
40496259K,Ruiz,Santos,Lucas ,Pasaje Lorem ipsum dolor sit 72 7B,'santos.ruiz@correo.com',32235,4,,mensual,10,DK1099979861456738
